Title,ShortTitle,CallNumber,CatalogedGenre,Facsimile,TPDate,DateCert,CatalogedDate,MapDate,TPCity,LocationFromImprint,CatalogedCity,RegularizedStreetAddress,GeoCodeAddress,GeoLat,GeoLong,LicenseStatement,Registration,Author,Printer,Bookseller,Publisher,Contributor,Compiler,Reprint,Edition,Archive,Link
"Kitty's stream running clear, or, The freedom of fishing : a serious panegyric, addressed to Miss K---y F---r, and all her admirers",Kitty's stream running clear,1998 1664,,Y,M.DCC.LIX,verified,1759,1759-01-01,London,near St. Paul's,London,"St. Paul's, London, England","St Paul's Churchyard, London, England, United Kingdom",51.51295,-0.097038,,,Aldiborontiphoskophornio,,Edward Rawlings,,,,,,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/2109246
A Tale of Three Bonnets in Four Cantos,A Tale of Three Bonnets in Four Cantos,s0031Ab027,,Y,MDCCLXXVII,verified,1777,1777-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,,J. & M. Robertson,,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1103
"Colin and Lucy. A favourite ballad. By Mr. Tickel. To which is added, an elegy written on the plain of fontenoy",Colin and Lucy. A favourite ballad.,s0343b33,,Y,,specified,1798,1798-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,Mr. Tickel,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1032
"The cocked pistol: a familiar epistle to mr. James Morton, precentor in the Abbey Kirk, Paisley, requesting his advice on matrimony; with his answer, containing rules for chosing a wife",The cocked pistol,s0343b22,,Y,,specified,1795,1795-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1031
"Domestic Happiness Exhibited, in I. The Fireside. A Poem. By Dr. Cotton. II. John Anderson, My Joe. Improved",Domestic Happiness Exhibited,s0141b34,,Y,,specified,1796,1796-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,Robert Burns; Nathaniel Cotton,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1014
"The Facetious History of John Gilpin by Mr Cowper. To which is added, The Country Bumpkin and Razor-Seller",The Facetious History of John Gilpin,s0141b34,,Y,,specified,1796,1796-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,,,A. Cameron,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1008
"A Caution To Husbands against thrifty wives demonstrating the ruinous tendency of too much economy by Christopher Cakeling of Cranbourne-Alley.  To which are added, Select jests",A Caution To Husbands against thrifty wives,s0141b34,,Y,,specified,1795,1795-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,Christopher Cakeling,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1007
"Five Favourite Songs, Scots and English by Various Authors","Five Favourite Songs, Scots and English",s0141b34,,Y,,specified,1797,1797-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1006
Gil Morrice. A Scottish Ballad. Upon which The Chief Incidents In the Tragedy of Douglas are Founded,Gil Morrice. A Scottish Ballad,s0141b34,,Y,,specified,1796,1796-01-01,Glasgow,Trongate,Glasgow,"Trongate, Glasgow, Scotland","Trongate, Glasgow, Scotland, United Kingdom",55.857169,-4.246881,,,,,Cameron & Murdoch,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1005
George Barnwell. An Old English Ballad. Upon Which The Chief Incidents In The Tragedy of George Barnwell Are Founded,George Barnwell. An Old English Ballad.,s0141b34,,Y,,specified,1796,1796-01-01,Glasgow,Trongate,Glasgow,"Trongate, Glasgow, Scotland","Trongate, Glasgow, Scotland, United Kingdom",55.857169,-4.246881,,,,,Cameron & Murdoch,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1004
"The Lass of Fair Wone; Or, The Parson's Daughter Betrayed. A Celebrated Ballad, Translated from the German Of Burger",The Lass of Fair Wone,s0141b35,,Y,,specified,1796,1796-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,,,Brash & Reid,,,,,,"Archival & Special Collections, University of Guelph Library, Guelph, Ontario",https://scottishchapbooks.lib.uoguelph.ca/items/show/1003
"The riches of Christ, and the glorious treasure of heavenly joys, held forth, and expounded to all good Christians. Wherein unspeakable Blessings are proposed for the Encouragement and Comfort of all that will strive and labour to work out their Salvation with Fear and Trembling; to which is added, Honey-drops, or chrystal-streams flowing from Christ the fountain and head thereof.","The riches of Christ, and the glorious treasure of heavenly joys, held forth, and expounded to all good Christians",194561,,Y,"M,DCC,LXXIX",verified,1779,1779-01-01,Glasgow,,Glasgow,"Glasgow, Scotland","Glasgow, Scotland, United Kingdom",55.860766,-4.268234,,,John Bunyan,,J & J Robertson,,,,,,University of Manchester Digital Collections,"https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~91~1~422432~178136?qvq=q:reference_number%3D%22194561%22;lc:ManchesterDev~95~2,Manchester~93~93,Manchester~14~14,Man4MedievalVC~4~4,ManchesterDev~93~3,Manchester~15~15,Manchester~26~26,Manchester~11~11,nonconform~91~1,Manchester~20~20,Manchester~91~1,Manchester~12~12,Manchester~25~25,Manchester~18~18,Manchester~10~10,Manchester~19~19,lib1~1~1,Manchester~24~24,Manchester~4~4,Gaskell2~91~1,maps002~1~1&mi=0&trs=16"
"Turn the carpet, or, The two weavers : a new song, in a dialogue between Dick and John.",Turn the carpet,24181742,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100182999
The happy waterman.,The happy waterman.,421849718,,Y,,specified,1795,1795-01-01,London,"no. 17, Queen-Street, Cheap-side, and no. 4, Aldermary, Church-Yard; Piccadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,S. Hazard; J. Marshall; R. White,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183303
The shepherd of Salisbury Plain. Part II.,The shepherd of Salisbury Plain. Part II.,714841611,,Y,,specified,1795,1795-01-01,London; Bath,"No. 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard, Bow-Lane; Piccadilly, London; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository) for Moral and Religious Tracts ,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183300
"Sorrowful Sam, or, The two blacksmiths.",Sorrowful Sam,714899936,,Y,,specified,1795,1795-01-01,London; Bath,"No. 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard, Bow-Lane; Piccadilly, London; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183311
"Turn the carpet, or, The two weavers : a new song, in a dialogue between Dick and John.",Turn the carpet,714876189,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183320
The beggarly boy : a parable.,The beggarly boy : a parable.,29678316,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183299
